# data/books.txt - Dữ liệu sách mẫu cho thư viện trường THPT

# Format: ID|Title|Author|Category|Publisher|ISBN|Year|Pages|Language|Description|Location|Copies|Price|Condition|Tags

# VĂN HỌC VIỆT NAM
book001|Tắt đèn|Ngô Tất Tố|Văn học|NXB Văn học|978-604-2-00001-1|2020|280|Tiếng Việt|Tiểu thuyết nổi tiếng về cuộc sống nông thôn Việt Nam đầu thế kỷ 20|Kệ A1-01|15|85000|Tốt|văn học việt nam,tiểu thuyết,nông thôn,cổ điển

book002|Số đỏ|Vũ Trọng Phụng|Văn học|NXB Văn học|978-604-2-00002-8|2019|320|Tiếng Việt|Tiểu thuyết phê phán xã hội thời thuộc địa|Kệ A1-02|12|95000|Tốt|văn học việt nam,tiểu thuyết,phê phán xã hội,hiện thực

book003|Chí Phèo|Nam Cao|Văn học|NXB Văn học|978-604-2-00003-5|2021|180|Tiếng Việt|Truyện ngắn kinh điển về số phận con người|Kệ A1-03|20|65000|Tốt|văn học việt nam,truyện ngắn,hiện thực

book004|Vợ nhặt|Kim Lân|Văn học|NXB Văn học|978-604-2-00004-2|2020|150|Tiếng Việt|Truyện ngắn về đời sống nông thôn nghèo khó|Kệ A1-04|18|55000|Tốt|văn học việt nam,truyện ngắn,nông thôn

book005|Những đứa con trong gia đình|Nguyễn Thi|Văn học|NXB Văn học|978-604-2-00005-9|2021|240|Tiếng Việt|Tiểu thuyết về tình cảm gia đình|Kệ A1-05|10|75000|Tốt|văn học việt nam,tiểu thuyết,gia đình

book006|Đất rừng phương Nam|Đoàn Giỏi|Văn học|NXB Văn học|978-604-2-00006-6|2020|350|Tiếng Việt|Tiểu thuyết về miền Nam Việt Nam|Kệ A1-06|14|105000|Tốt|văn học việt nam,tiểu thuyết,miền nam

book007|Lão Hạc|Nam Cao|Văn học|NXB Văn học|978-604-2-00007-3|2019|120|Tiếng Việt|Truyện ngắn về lòng nhân ái|Kệ A1-07|22|45000|Tốt|văn học việt nam,truyện ngắn,nhân ái

book008|Hai đứa trẻ|Thạch Lam|Văn học|NXB Văn học|978-604-2-00008-0|2021|160|Tiếng Việt|Truyện ngắn về tuổi thơ|Kệ A1-08|16|58000|Tốt|văn học việt nam,truyện ngắn,tuổi thơ

book009|Tôi thấy hoa vàng trên cỏ xanh|Nguyễn Nhật Ánh|Văn học|NXB Trẻ|978-604-2-00009-7|2022|320|Tiếng Việt|Tiểu thuyết về tuổi thơ miền quê|Kệ A1-09|25|120000|Mới|văn học việt nam,tiểu thuyết,tuổi thơ,đương đại

book010|Cho tôi xin một vé đi tuổi thơ|Nguyễn Nhật Ánh|Văn học|NXB Trẻ|978-604-2-00010-3|2022|280|Tiếng Việt|Tiểu thuyết về kỷ niệm tuổi thơ|Kệ A1-10|20|115000|Mới|văn học việt nam,tiểu thuyết,tuổi thơ,đương đại

# VĂN HỌC NƯỚC NGOÀI
book011|Chiến tranh và hòa bình|Leo Tolstoy|Văn học|NXB Văn học|978-604-2-00011-0|2020|1200|Tiếng Việt|Tiểu thuyết kinh điển của văn học Nga|Kệ A2-01|8|250000|Tốt|văn học nga,tiểu thuyết,kinh điển,chiến tranh

book012|Anna Karenina|Leo Tolstoy|Văn học|NXB Văn học|978-604-2-00012-7|2019|800|Tiếng Việt|Tiểu thuyết về tình yêu và xã hội Nga|Kệ A2-02|10|180000|Tốt|văn học nga,tiểu thuyết,tình yêu,xã hội

book013|Tội ác và hình phạt|Fyodor Dostoevsky|Văn học|NXB Văn học|978-604-2-00013-4|2021|600|Tiếng Việt|Tiểu thuyết tâm lý học|Kệ A2-03|12|160000|Tốt|văn học nga,tiểu thuyết,tâm lý,triết học

book014|Cha già và biển cả|Ernest Hemingway|Văn học|NXB Văn học|978-604-2-00014-1|2020|120|Tiếng Việt|Tiểu thuyết về ý chí con người|Kệ A2-04|15|65000|Tốt|văn học mỹ,tiểu thuyết,ý chí,biển

book015|Những người khốn khổ|Victor Hugo|Văn học|NXB Văn học|978-604-2-00015-8|2021|1000|Tiếng Việt|Tiểu thuyết xã hội Pháp thế kỷ 19|Kệ A2-05|6|220000|Tốt|văn học pháp,tiểu thuyết,xã hội,lịch sử

book016|Nhà giả kim|Paulo Coelho|Văn học|NXB Văn học|978-604-2-00016-5|2022|200|Tiếng Việt|Tiểu thuyết triết lý về hành trình tìm kiếm|Kệ A2-06|18|95000|Mới|văn học brazil,tiểu thuyết,triết lý,hành trình

book017|Đắc nhân tâm|Dale Carnegie|Văn học|NXB Tổng hợp|978-604-2-00017-2|2021|320|Tiếng Việt|Sách kỹ năng giao tiếp và thành công|Kệ A2-07|30|125000|Mới|kỹ năng sống,giao tiếp,thành công,tự phát triển

book018|Sapiens: Lược sử loài người|Yuval Noah Harari|Văn học|NXB Thế giới|978-604-2-00018-9|2022|450|Tiếng Việt|Sách về lịch sử và tiến hóa loài người|Kệ A2-08|12|180000|Mới|lịch sử,nhân loại,tiến hóa,khoa học

# TOÁN HỌC
book019|Toán học 10|Bộ GD&ĐT|Toán học|NXB Giáo dục|978-604-2-00019-6|2023|350|Tiếng Việt|Sách giáo khoa Toán lớp 10|Kệ B1-01|60|95000|Mới|toán học,giáo khoa,lớp 10,đại số,hình học

book020|Toán học 11|Bộ GD&ĐT|Toán học|NXB Giáo dục|978-604-2-00020-2|2023|380|Tiếng Việt|Sách giáo khoa Toán lớp 11|Kệ B1-02|55|105000|Mới|toán học,giáo khoa,lớp 11,đại số,hình học

book021|Toán học 12|Bộ GD&ĐT|Toán học|NXB Giáo dục|978-604-2-00021-9|2023|420|Tiếng Việt|Sách giáo khoa Toán lớp 12|Kệ B1-03|50|115000|Mới|toán học,giáo khoa,lớp 12,đại số,hình học,giải tích

book022|Bài tập Toán 10|Bộ GD&ĐT|Toán học|NXB Giáo dục|978-604-2-00022-6|2023|200|Tiếng Việt|Sách bài tập Toán lớp 10|Kệ B1-04|40|65000|Mới|toán học,bài tập,lớp 10

book023|Bài tập Toán 11|Bộ GD&ĐT|Toán học|NXB Giáo dục|978-604-2-00023-3|2023|220|Tiếng Việt|Sách bài tập Toán lớp 11|Kệ B1-05|35|75000|Mới|toán học,bài tập,lớp 11

book024|Bài tập Toán 12|Bộ GD&ĐT|Toán học|NXB Giáo dục|978-604-2-00024-0|2023|250|Tiếng Việt|Sách bài tập Toán lớp 12|Kệ B1-06|30|85000|Mới|toán học,bài tập,lớp 12

book025|Toán nâng cao 10|Nguyễn Văn A|Toán học|NXB Đại học Quốc gia|978-604-2-00025-7|2022|280|Tiếng Việt|Sách toán nâng cao cho học sinh giỏi|Kệ B1-07|20|120000|Tốt|toán học,nâng cao,lớp 10,học sinh giỏi

book026|Toán nâng cao 11|Nguyễn Văn A|Toán học|NXB Đại học Quốc gia|978-604-2-00026-4|2022|300|Tiếng Việt|Sách toán nâng cao cho học sinh giỏi|Kệ B1-08|18|135000|Tốt|toán học,nâng cao,lớp 11,học sinh giỏi

