# data/borrows.txt - Dữ liệu mượn trả sách cho thư viện trường THPT

# Format: BorrowID|ReaderID|BookID|BorrowDate|DueDate|ReturnDate|Status|LibrarianID|Fine|Notes

# GIAO DỊCH MƯỢN TRẢ THÁNG 1/2024
borrow001|reader001|book001|2024-01-02|2024-01-16|2024-01-15|returned|reader069|0|Trả đúng hạn
borrow002|reader001|book025|2024-01-02|2024-01-16|2024-01-14|returned|reader069|0|Trả sớm 2 ngày
borrow003|reader002|book045|2024-01-03|2024-01-17|2024-01-17|returned|reader070|0|Trả đúng hạn
borrow004|reader003|book015|2024-01-03|2024-01-17|2024-01-20|returned|reader069|15000|Trả muộn 3 ngày, phạt 5k/ngày
borrow005|reader004|book067|2024-01-04|2024-01-18|2024-01-16|returned|reader070|0|Trả sớm
borrow006|reader005|book089|2024-01-04|2024-01-18|2024-01-25|returned|reader069|35000|Trả muộn 7 ngày
borrow007|reader006|book012|2024-01-05|2024-01-19|2024-01-19|returned|reader070|0|Trả đúng hạn
borrow008|reader007|book034|2024-01-05|2024-01-19|2024-01-18|returned|reader069|0|Trả sớm 1 ngày
borrow009|reader008|book056|2024-01-06|2024-01-20|2024-01-22|returned|reader070|10000|Trả muộn 2 ngày
borrow010|reader009|book078|2024-01-06|2024-01-20|2024-01-19|returned|reader069|0|Trả sớm

borrow011|reader010|book023|2024-01-08|2024-01-22|2024-01-21|returned|reader070|0|Trả sớm
borrow012|reader011|book041|2024-01-08|2024-01-22|2024-01-28|returned|reader069|30000|Trả muộn 6 ngày
borrow013|reader012|book063|2024-01-09|2024-01-23|2024-01-23|returned|reader070|0|Trả đúng hạn
borrow014|reader013|book085|2024-01-09|2024-01-23|2024-01-26|returned|reader069|15000|Trả muộn 3 ngày
borrow015|reader014|book007|2024-01-10|2024-01-24|2024-01-24|returned|reader070|0|Trả đúng hạn
borrow016|reader015|book029|2024-01-10|2024-01-24|2024-01-22|returned|reader069|0|Trả sớm 2 ngày
borrow017|reader016|book051|2024-01-11|2024-01-25|2024-01-25|returned|reader070|0|Trả đúng hạn
borrow018|reader017|book073|2024-01-11|2024-01-25|2024-01-30|returned|reader069|25000|Trả muộn 5 ngày
borrow019|reader018|book095|2024-01-12|2024-01-26|2024-01-24|returned|reader070|0|Trả sớm
borrow020|reader019|book017|2024-01-12|2024-01-26|2024-01-26|returned|reader069|0|Trả đúng hạn

borrow021|reader020|book039|2024-01-15|2024-01-29|2024-01-29|returned|reader070|0|Trả đúng hạn
borrow022|reader021|book061|2024-01-15|2024-01-29|2024-02-02|returned|reader069|20000|Trả muộn 4 ngày
borrow023|reader022|book083|2024-01-16|2024-01-30|2024-01-28|returned|reader070|0|Trả sớm
borrow024|reader023|book005|2024-01-16|2024-01-30|2024-01-30|returned|reader069|0|Trả đúng hạn
borrow025|reader024|book027|2024-01-17|2024-01-31|2024-02-05|returned|reader070|25000|Trả muộn 5 ngày
borrow026|reader025|book049|2024-01-17|2024-01-31|2024-01-29|returned|reader069|0|Trả sớm
borrow027|reader026|book071|2024-01-18|2024-02-01|2024-02-01|returned|reader070|0|Trả đúng hạn
borrow028|reader027|book093|2024-01-18|2024-02-01|2024-02-03|returned|reader069|10000|Trả muộn 2 ngày
